                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91924,                 2.5493,                 1.0428,                0.73642,                0.20596,                0.17449,                0.13815,                0.74121,                 1.6033,                0.94699,              0.0033283,              0.0033283,              0.0033283
                      1,                0.90101,                 1.7394,                  1.041,                0.75883,                0.18012,                0.18418,                 0.1379,                0.87623,                 1.6398,                 1.0156,              0.0065957,              0.0065957,              0.0065957
                      2,                0.97995,                 1.6119,                 1.0783,                0.50746,                0.20782,                0.16325,                 0.1121,                 1.1058,                  2.073,                 1.1429,              0.0097971,              0.0097971,              0.0097971
                      3,                0.99543,                 1.4347,                 1.0874,                 0.5739,                0.21789,                0.21343,                0.15842,                0.89521,                 1.3898,                 1.0635,               0.009703,               0.009703,               0.009703
                      4,                0.93841,                 1.2392,                 1.0605,                0.57587,                0.24475,                0.26016,                0.20103,                0.84441,                 1.2651,                 1.0125,               0.009703,               0.009703,               0.009703
                      5,                0.90847,                 1.1574,                 1.0489,                0.62726,                0.28149,                0.28267,                0.22401,                 0.7932,                 1.1196,                0.98756,               0.009604,               0.009604,               0.009604
                      6,                0.86767,                 1.0797,                 1.0344,                0.70439,                0.29058,                0.34611,                0.28233,                0.75457,                  1.127,                0.97239,               0.009505,               0.009505,               0.009505
                      7,                0.84363,                 1.0394,                 1.0251,                0.69906,                0.29372,                 0.3246,                0.25641,                0.73648,                 1.0497,                0.96655,               0.009406,               0.009406,               0.009406
                      8,                0.82492,                0.99694,                 1.0153,                0.65935,                0.33478,                0.34501,                0.28592,                0.69645,                0.97997,                0.95085,               0.009307,               0.009307,               0.009307
                      9,                0.81277,                0.97328,                 1.0101,                0.70214,                0.30814,                0.35451,                0.29362,                0.69402,                0.99514,                0.95275,               0.009208,               0.009208,               0.009208
                     10,                0.79497,                0.94017,                0.99974,                0.68363,                0.29756,                0.33368,                0.27113,                0.67906,                0.98077,                 0.9386,               0.009109,               0.009109,               0.009109
                     11,                0.78317,                0.92055,                 1.0022,                 0.7855,                0.31552,                0.39774,                0.33587,                 0.6671,                0.95348,                0.94254,                0.00901,                0.00901,                0.00901
                     12,                0.77159,                0.89787,                0.99339,                0.62448,                 0.3518,                0.37638,                0.31733,                0.64898,                0.97766,                0.92917,               0.008911,               0.008911,               0.008911
                     13,                0.77195,                0.89298,                0.99437,                0.63728,                0.34073,                0.36697,                0.30458,                  0.676,                0.95633,                0.94788,               0.008812,               0.008812,               0.008812
                     14,                0.74906,                0.87992,                0.98556,                0.78115,                0.32964,                0.41447,                0.34959,                0.62786,                0.92539,                0.92458,               0.008713,               0.008713,               0.008713
                     15,                0.74364,                0.86928,                0.97961,                0.69999,                0.35016,                0.41444,                0.35453,                0.61775,                 0.9144,                0.91129,               0.008614,               0.008614,               0.008614
                     16,                 0.7416,                0.85905,                0.97988,                0.69548,                 0.3823,                0.43981,                0.35942,                0.61658,                0.84967,                0.91966,               0.008515,               0.008515,               0.008515
                     17,                0.73521,                 0.8455,                0.97789,                0.77316,                0.34637,                0.40791,                0.34842,                0.62381,                0.89691,                0.92463,               0.008416,               0.008416,               0.008416
                     18,                0.73163,                0.83853,                0.97631,                 0.7667,                0.33866,                0.47071,                0.40735,                0.59549,                0.88799,                0.90985,               0.008317,               0.008317,               0.008317
                     19,                0.72411,                0.81972,                0.97108,                0.78398,                0.36693,                0.48737,                0.42257,                0.62253,                0.90077,                0.92068,               0.008218,               0.008218,               0.008218
                     20,                0.72165,                0.82377,                 0.9731,                0.72284,                0.36854,                0.45542,                0.39529,                  0.599,                0.86492,                0.91102,               0.008119,               0.008119,               0.008119
                     21,                0.71103,                0.80477,                0.96804,                 0.7288,                0.38833,                0.53016,                0.45193,                0.58435,                0.86537,                 0.9065,                0.00802,                0.00802,                0.00802
                     22,                0.70514,                 0.7973,                0.96211,                0.85229,                0.34292,                0.44891,                0.39313,                0.57942,                0.83339,                0.90385,               0.007921,               0.007921,               0.007921
                     23,                0.69723,                0.78557,                0.96308,                 0.7166,                0.46539,                0.56419,                0.48034,                0.57325,                0.85714,                0.90117,               0.007822,               0.007822,               0.007822
                     24,                0.69954,                0.78533,                0.96317,                0.78965,                0.44072,                0.54043,                0.45856,                0.56771,                0.81537,                0.89787,               0.007723,               0.007723,               0.007723
                     25,                0.69254,                0.77123,                0.96192,                 0.8205,                0.45616,                0.52317,                0.44747,                0.56673,                  0.834,                0.89876,               0.007624,               0.007624,               0.007624
                     26,                0.69368,                 0.7781,                0.96066,                 0.7632,                0.46519,                0.53469,                0.46973,                0.55301,                0.80062,                0.89495,               0.007525,               0.007525,               0.007525
                     27,                0.68602,                0.75837,                0.95822,                0.69621,                0.46872,                 0.5182,                0.45012,                0.56657,                0.80439,                0.89802,               0.007426,               0.007426,               0.007426
                     28,                0.68216,                0.76591,                0.95482,                0.70982,                0.45188,                0.55896,                0.48901,                0.56006,                0.81664,                 0.8966,               0.007327,               0.007327,               0.007327
                     29,                0.67982,                0.74914,                0.95466,                 0.7297,                0.49348,                0.53555,                0.47419,                0.55082,                0.80081,                0.89182,               0.007228,               0.007228,               0.007228
                     30,                 0.6817,                0.75185,                0.95655,                0.67445,                0.49535,                0.52152,                0.44784,                0.55579,                0.78136,                0.89592,               0.007129,               0.007129,               0.007129
                     31,                0.67487,                0.74484,                0.95252,                0.55483,                 0.4696,                0.49415,                0.43532,                0.54567,                 0.7953,                0.89138,                0.00703,                0.00703,                0.00703
                     32,                0.66958,                0.74352,                0.95108,                0.74963,                0.50012,                0.54442,                0.48765,                 0.5328,                 0.7757,                0.88517,               0.006931,               0.006931,               0.006931
                     33,                0.66659,                0.73455,                0.94952,                0.71937,                0.52394,                0.57108,                0.50348,                0.53911,                0.76424,                0.88601,               0.006832,               0.006832,               0.006832
                     34,                0.66702,                0.71878,                0.94892,                0.87181,                0.46824,                0.57474,                0.51115,                0.53023,                0.74537,                0.88388,               0.006733,               0.006733,               0.006733
                     35,                0.66077,                0.71811,                 0.9505,                0.71344,                0.53217,                0.57498,                0.50288,                0.53047,                0.75458,                 0.8848,               0.006634,               0.006634,               0.006634
                     36,                0.65916,                0.71723,                0.94711,                0.72961,                0.52679,                0.57024,                0.50585,                0.52455,                0.75174,                0.88098,               0.006535,               0.006535,               0.006535
                     37,                0.65733,                0.71504,                0.94687,                 0.7626,                0.50019,                0.57556,                0.51213,                0.52727,                0.76099,                0.88635,               0.006436,               0.006436,               0.006436
                     38,                0.65528,                0.70651,                0.94442,                0.67442,                0.52117,                0.58104,                0.51446,                0.52153,                0.75898,                0.88022,               0.006337,               0.006337,               0.006337
                     39,                0.65083,                0.69979,                0.94161,                0.70395,                0.51104,                0.58508,                0.51678,                0.51487,                0.75985,                0.87936,               0.006238,               0.006238,               0.006238
                     40,                0.64904,                0.69921,                0.94375,                0.82426,                0.53056,                0.59182,                0.52195,                0.52157,                0.73106,                0.88074,               0.006139,               0.006139,               0.006139
                     41,                0.64912,                0.69787,                0.94356,                  0.858,                0.49463,                0.59206,                0.52695,                0.50901,                0.74481,                0.87548,                0.00604,                0.00604,                0.00604
                     42,                0.63489,                0.68369,                0.93724,                 0.7249,                 0.5101,                0.58428,                0.52418,                0.51101,                   0.74,                  0.878,               0.005941,               0.005941,               0.005941
                     43,                0.63985,                0.67638,                0.93768,                0.85224,                0.49356,                0.57317,                0.51022,                0.51131,                0.74529,                 0.8763,               0.005842,               0.005842,               0.005842
                     44,                  0.636,                0.67884,                0.93685,                0.72732,                0.53659,                 0.5957,                0.52878,                0.51103,                0.73511,                0.87654,               0.005743,               0.005743,               0.005743
                     45,                 0.6334,                0.67794,                0.93712,                0.69057,                 0.5458,                0.58533,                0.52385,                0.50618,                0.73501,                 0.8761,               0.005644,               0.005644,               0.005644
                     46,                0.63064,                0.67164,                 0.9352,                0.82018,                0.52634,                0.59633,                0.53447,                0.50593,                0.72783,                0.87657,               0.005545,               0.005545,               0.005545
                     47,                0.62842,                0.66843,                0.93259,                0.76984,                0.53404,                0.59801,                0.53351,                0.50471,                 0.7298,                0.87447,               0.005446,               0.005446,               0.005446
                     48,                0.62747,                0.66386,                0.93401,                 0.7189,                0.55611,                0.60587,                0.54313,                0.49719,                0.71708,                0.87196,               0.005347,               0.005347,               0.005347
                     49,                0.62451,                0.66024,                0.93198,                0.77368,                0.50971,                0.60484,                0.53508,                0.49817,                0.73041,                0.87137,               0.005248,               0.005248,               0.005248
                     50,                0.62257,                0.65589,                0.92895,                0.75852,                0.53243,                0.60159,                0.53459,                0.49998,                0.73552,                0.87178,               0.005149,               0.005149,               0.005149
                     51,                0.62281,                0.65622,                0.92934,                0.70933,                0.53625,                0.59536,                0.53033,                0.49535,                0.72339,                0.86958,                0.00505,                0.00505,                0.00505
                     52,                0.61976,                0.64737,                0.93039,                0.79001,                0.50655,                 0.6562,                0.57476,                0.49386,                0.71919,                0.86911,               0.004951,               0.004951,               0.004951
                     53,                0.61517,                0.64695,                0.92772,                0.77693,                0.55304,                0.62524,                0.53965,                0.49316,                0.71712,                0.86677,               0.004852,               0.004852,               0.004852
                     54,                0.61505,                0.64685,                0.92715,                0.73049,                0.55003,                0.60622,                0.53835,                0.49101,                0.71758,                0.86701,               0.004753,               0.004753,               0.004753
                     55,                0.61261,                0.63353,                0.92782,                0.78888,                0.52598,                0.62682,                0.55684,                0.49156,                0.72119,                0.86801,               0.004654,               0.004654,               0.004654
                     56,                0.61645,                 0.6368,                0.92934,                0.81761,                0.51384,                0.62141,                0.55884,                0.48626,                0.72047,                0.86495,               0.004555,               0.004555,               0.004555
                     57,                0.60273,                0.62998,                0.92451,                0.68061,                0.58134,                 0.6636,                0.59922,                0.48581,                0.71313,                0.86631,               0.004456,               0.004456,               0.004456
                     58,                0.60769,                0.62318,                0.92307,                 0.7442,                0.56208,                  0.665,                0.57313,                0.48727,                0.71649,                0.86697,               0.004357,               0.004357,               0.004357
                     59,                0.60546,                0.62253,                0.92421,                0.76755,                0.55643,                0.66999,                0.57857,                0.48774,                0.71255,                0.86644,               0.004258,               0.004258,               0.004258
                     60,                0.60364,                0.61851,                0.92429,                0.79729,                0.52553,                0.62221,                0.55339,                0.48614,                0.71867,                0.86574,               0.004159,               0.004159,               0.004159
                     61,                0.59777,                0.61795,                0.91935,                0.58813,                0.63017,                0.62326,                0.55368,                 0.4861,                0.71146,                 0.8655,                0.00406,                0.00406,                0.00406
                     62,                 0.5988,                0.61669,                0.92179,                 0.7869,                0.53637,                 0.6221,                0.55409,                0.48662,                0.71882,                0.86598,               0.003961,               0.003961,               0.003961
